tipo_curva;plazo;tasa;date
CCPSS;90;5.42656;6/07/2022
CCPSS;3600;7.95251;6/07/2022
CCPSS;90;5.43486;7/07/2022
CCPSS;3600;8.00081;7/07/2022
CCPSS;90;5.92679;8/07/2022
CCPSS;3600;8.09424;8/07/2022
CCPSS;90;5.88609;11/07/2022
CCPSS;3600;8.20807;11/07/2022
CCPSS;90;5.79697;12/07/2022
CCPSS;3600;8.33563;12/07/2022
CCPSS;90;5.83743;13/07/2022
CCPSS;3600;8.38110;13/07/2022
CCPSS;90;5.86990;14/07/2022
CCPSS;3600;8.43313;14/07/2022
CCPSS;90;5.90946;15/07/2022
CCPSS;3600;8.46753;15/07/2022
CCPSS;90;5.88814;18/07/2022
CCPSS;3600;8.52796;18/07/2022
CCPSS;90;5.85382;19/07/2022
CCPSS;3600;8.59751;19/07/2022
CCPSS;90;5.85763;20/07/2022
CCPSS;3600;8.63879;20/07/2022
CCPSS;90;5.85207;21/07/2022
CCPSS;3600;8.56978;21/07/2022
CCPSS;90;5.84324;22/07/2022
CCPSS;3600;8.44242;22/07/2022
CCPSS;90;5.83691;25/07/2022
CCPSS;3600;8.34665;25/07/2022
CCPSS;90;5.83395;26/07/2022
CCPSS;3600;8.28948;26/07/2022
CCPSS;90;5.83583;27/07/2022
CCPSS;3600;8.31335;27/07/2022
CCPSS;90;5.83583;28/07/2022
CCPSS;3600;8.31335;28/07/2022
CCPSS;90;5.83583;29/07/2022
CCPSS;3600;8.31335;29/07/2022
CCPSS;90;5.82653;1/08/2022
CCPSS;3600;8.19195;1/08/2022
CCPSS;90;5.82171;2/08/2022
CCPSS;3600;8.11799;2/08/2022
CCPSS;90;5.82615;3/08/2022
CCPSS;3600;8.14325;3/08/2022
CCPSS;90;5.81929;4/08/2022
CCPSS;3600;8.05683;4/08/2022
CCPSS;90;5.82185;5/08/2022
CCPSS;3600;8.07692;5/08/2022
CCPSS;90;5.81771;8/08/2022
CCPSS;3600;8.03644;8/08/2022
CCPSS;90;5.81972;9/08/2022
CCPSS;3600;8.05602;9/08/2022
CCPSS;90;5.81330;10/08/2022
CCPSS;3600;7.97005;10/08/2022
CCPSS;90;5.80955;11/08/2022
CCPSS;3600;7.91887;11/08/2022
CCPSS;90;6.31140;12/08/2022
CCPSS;3600;7.93721;12/08/2022
CCPSS;90;6.20895;15/08/2022
CCPSS;3600;7.84656;15/08/2022
CCPSS;90;6.14975;16/08/2022
CCPSS;3600;7.82254;16/08/2022
CCPSS;90;6.10437;17/08/2022
CCPSS;3600;7.85373;17/08/2022
CCPSS;90;6.10406;18/08/2022
CCPSS;3600;7.87235;18/08/2022
CCPSS;90;6.10535;19/08/2022
CCPSS;3600;7.92524;19/08/2022
CCPSS;90;6.10922;22/08/2022
CCPSS;3600;8.00556;22/08/2022
CCPSS;90;6.10778;23/08/2022
CCPSS;3600;8.01377;23/08/2022
CCPSS;90;6.10966;24/08/2022
CCPSS;3600;8.04720;24/08/2022
CCPSS;90;6.09478;25/08/2022
CCPSS;3600;7.96012;25/08/2022
CCPSS;90;6.09787;26/08/2022
CCPSS;3600;7.99032;26/08/2022
CCPSS;90;6.10319;29/08/2022
CCPSS;3600;8.02471;29/08/2022
CCPSS;90;6.10319;30/08/2022
CCPSS;3600;8.02471;30/08/2022
CCPSS;90;6.10473;31/08/2022
CCPSS;3600;8.04684;31/08/2022
CCPSS;90;6.11146;1/09/2022
CCPSS;3600;8.13648;1/09/2022
CCPSS;90;6.10713;2/09/2022
CCPSS;3600;8.08201;2/09/2022
CCPSS;90;6.11475;5/09/2022
CCPSS;3600;8.16753;5/09/2022
CCPSS;90;6.11807;6/09/2022
CCPSS;3600;8.21644;6/09/2022
CCPSS;90;6.11980;7/09/2022
CCPSS;3600;8.24749;7/09/2022
CCPSS;90;6.11888;8/09/2022
CCPSS;3600;8.22652;8/09/2022
CCPSS;90;6.09109;9/09/2022
CCPSS;3600;8.06828;9/09/2022
CCPSS;90;6.56884;12/09/2022
CCPSS;3600;8.05424;12/09/2022
CCPSS;90;6.56933;13/09/2022
CCPSS;3600;8.07574;13/09/2022
CCPSS;90;6.57116;14/09/2022
CCPSS;3600;8.09223;14/09/2022
CCPSS;90;6.54465;15/09/2022
CCPSS;3600;8.09114;15/09/2022
CCPSS;90;6.54701;16/09/2022
CCPSS;3600;8.12132;16/09/2022
CCPSS;90;6.55784;19/09/2022
CCPSS;3600;8.13486;19/09/2022
CCPSS;90;6.55177;20/09/2022
CCPSS;3600;8.19788;20/09/2022
CCPSS;90;6.55260;21/09/2022
CCPSS;3600;8.17764;21/09/2022
CCPSS;90;6.55677;22/09/2022
CCPSS;3600;8.23963;22/09/2022
CCPSS;90;6.56074;23/09/2022
CCPSS;3600;8.27104;23/09/2022
CCPSS;90;6.56966;26/09/2022
CCPSS;3600;8.40031;26/09/2022
CCPSS;90;6.57530;27/09/2022
CCPSS;3600;8.44193;27/09/2022
CCPSS;90;6.58235;28/09/2022
CCPSS;3600;8.50027;28/09/2022
CCPSS;90;6.59087;29/09/2022
CCPSS;3600;8.58795;29/09/2022
CCPSS;90;6.59739;30/09/2022
CCPSS;3600;8.67297;30/09/2022
CCPSS;90;6.58346;3/10/2022
CCPSS;3600;8.54938;3/10/2022
CCPSS;90;6.56134;4/10/2022
CCPSS;3600;8.51931;4/10/2022
CCPSS;90;6.58749;5/10/2022
CCPSS;3600;8.59786;5/10/2022
CCPSS;90;6.58993;6/10/2022
CCPSS;3600;8.58692;6/10/2022
CCPSS;90;6.58370;7/10/2022
CCPSS;3600;8.51165;7/10/2022
CCPSS;90;6.58203;10/10/2022
CCPSS;3600;8.48298;10/10/2022
CCPSS;90;6.59028;11/10/2022
CCPSS;3600;8.58490;11/10/2022
CCPSS;90;6.92861;12/10/2022
CCPSS;3600;8.68328;12/10/2022
CCPSS;90;6.93132;13/10/2022
CCPSS;3600;8.76069;13/10/2022
CCPSS;90;7.05234;14/10/2022
CCPSS;3600;8.75200;14/10/2022
CCPSS;90;7.04585;17/10/2022
CCPSS;3600;8.64857;17/10/2022
CCPSS;90;7.05355;18/10/2022
CCPSS;3600;8.60346;18/10/2022
CCPSS;90;7.05589;19/10/2022
CCPSS;3600;8.65042;19/10/2022
CCPSS;90;7.05802;20/10/2022
CCPSS;3600;8.68337;20/10/2022
CCPSS;90;7.05766;21/10/2022
CCPSS;3600;8.67676;21/10/2022
CCPSS;90;7.06070;24/10/2022
CCPSS;3600;8.72113;24/10/2022
CCPSS;90;7.05508;25/10/2022
CCPSS;3600;8.64220;25/10/2022
CCPSS;90;7.05232;26/10/2022
CCPSS;3600;8.60365;26/10/2022
CCPSS;90;7.05805;27/10/2022
CCPSS;3600;8.54011;27/10/2022
CCPSS;90;7.04763;28/10/2022
CCPSS;3600;8.52204;28/10/2022
CCPSS;90;7.04446;31/10/2022
CCPSS;3600;8.48016;31/10/2022
CCPSS;90;7.04446;1/11/2022
CCPSS;3600;8.48016;1/11/2022
CCPSS;90;7.03216;2/11/2022
CCPSS;3600;8.29908;2/11/2022
CCPSS;90;7.03110;3/11/2022
CCPSS;3600;8.32902;3/11/2022
CCPSS;90;7.02738;4/11/2022
CCPSS;3600;8.29011;4/11/2022
CCPSS;90;7.01926;7/11/2022
CCPSS;3600;8.18203;7/11/2022
CCPSS;90;7.00850;8/11/2022
CCPSS;3600;8.00279;8/11/2022
CCPSS;90;7.00447;9/11/2022
CCPSS;3600;7.95321;9/11/2022
CCPSS;90;6.99363;10/11/2022
CCPSS;3600;7.73176;10/11/2022
